Code;Code definition;Example from data
pubpeer-control;including lack of control, who is allowed to post, non-experts, not-scientists;If PubPeer would have retired scientists or some that are not actively in science but have the expertise that could serve as moderators, in a way that they post the comments that they were made aware off, it could avoid many of the above mentioned issues.
pubpeer-misuse;including potential misuse, harassment, targeting one person, witch-hunting, discredit competitors;I am concerned that post-publication review removes the anonymous, hopefully independent, aspect of traditional peer-review, and replaces it with an opportunity for large (and predominant) lab groups to defend a paper (e.g. to promote an author's career and gain funding) where there are genuine issues and bully or intimidate individuals trying to raise such issues. It's making peer-review vulnerable to social media style tactics for silencing criticisms.
pubpeer-not-ok;When they mention something negative about PubPeer, includes PPPR;Pubpeer is a vigilanty policing of scientist by failed scientist. It allows for all kinds of crazy people to develop conspiratory theories and discredit hard working scientists.
pubpeer-ok;When they mention something positive about PubPeer, includes PPPR;It is good to have a platform where colleagues can post errors or obvious manipulation of data in published papers.
pubpeer-ok-but;when they mention something positive about PubPeer followed by something negative, can be potential;I greatly appreciate the comments on PubPeer but I would also appreciate concerns/criticisms associated with comments found in PPRR with non anonymous experts in the same field
regret-citation;when they express regret about citing the article;Given this, I would have refrained from citing the paper in my review until the journal issues a final decision. A pity that I didn't know this when I co-author this review.
relevant-comment;When they mention the comment is relevant;[name of sleuth]'s scrutinity revealing the fabricated images in the articles of this group helped me to dismiss the wrong assertions
remove-comment;for when respondents suggest a comment should be removed from PubPeer;So many times the remarks of pub peer are inconsistent.
;;
;; The other point is that any time pub peer is right, and that the authors send an answer with correction, the pub peer comment is still here... It should be easier to delete immediately the non necessary comment
reproducibility;when they mention reproducibility, including results have been reproduced by other studies or were not reproducible;When their studies were published, we attempted to replicate their findings but consistently obtained opposing results.
research-evaluation;including researchers' evaluation;When the science community values the number of publications over the quality of publications the pressure to put out as many papers as possible becomes the overriding driver.
responsibility-to-authors;that it is up to the authors to correct;It is for the main and corresponding author of this paper to address this issue. I presume that this is where this experiment was done & hence this is the person who can address the issue
responsibility-to-journals;including publishers;the publisher (not me) should demand the original data or retract the paper.
retraction/retracted;when they mention retracted/retraction not limited to when the study is retracted but also the possibility of it;We did not cite the commented-on paper *positively* but rather were citing it while mentioning the erroneous nature of the work and retraction
review-article;when they mention that their article is a review article;I cited several papers to support a general statement in my review paper. Therefore, the data presented in this specific publication does not directly impact the conclusion in my publication.
self-correction-of-science;including optimistic and pessimistic views;I don't personally think that this form of review is productive, particularly in extremely marginal/dubious cases like this one. Mistakes happen, as does misconduct, and no single paper is perfect, but as a whole, the science is a self-correcting endeavor and gets closer to the truth with time.
students;when they mention students;An error by my student that I failed to notice during manuscript preparation
thanks;when they express thanks for being made aware;Thank you
time;when they mention time, that they don’t have time or that it would cost time;Those who have the time to spend on this obsess over the comments on there. I have neither the time nor the patience to correct the record continuously. It is like trying to nail jelly to the wall.
tone;when they mention the tone of the PubPeer comment;PubPeer encourages a very aggressive and cowardly attitude that is non-collegial.
uncertain;respondent is uncertain;i CANNOT JUDGE
 i don't understand;;
 This is something one of the respondents answered, and we gave this answer the code ‘none’, as there is nothing of interest to code in that answer.;;
